customer_id,name,email,phone,address,registration_date,segment
69,Kellie Cooley,kevinharris@example.org,635-836-8114x69539,"PSC 1644, Box 2842, APO AA 50208",2025-05-21,regular
70,Joel Williams,vhorne@example.com,001-598-968-8061x771,"62835 Manning Brook Apt. 673, North Kenneth, ID 83509",2024-10-06,new
71,Lisa Strickland,tracy21@example.net,6139177917,"3442 Anderson Fall, North Mason, GA 73621",2024-05-28,vip
72,Troy Cummings,zwilliams@example.net,001-780-281-8465x14745,"128 Gregory Turnpike Suite 805, Clarkburgh, ID 44979",2025-10-26,vip
73,Chloe Stewart,qnguyen@example.net,480-554-8482x88769,"75764 Mark Coves Apt. 900, Stewartchester, ID 01101",2023-11-28,vip
74,David Khan,leonnina@example.org,253-870-4599x07556,"833 Sarah Falls Apt. 834, Weissside, KS 44517",2024-10-21,vip
75,Christopher Harris,james02@example.com,001-387-960-2107,"599 Garcia Lodge, Port Emilyland, SC 22648",2024-09-25,new
76,Christian Cruz,ldawson@example.org,+1-788-923-2808x37440,"167 Amy Mount Apt. 966, Candiceville, SD 88614",2024-01-05,new
77,Donald Delgado,jacksonjames@example.net,+1-596-601-9153x6213,"PSC 2281, Box 2908, APO AE 23221",2025-01-07,new
78,Keith Giles,waltersjennifer@example.org,001-207-321-0828x786,"96912 Nicole Drive, Dennistown, VI 25787",2024-08-17,vip
79,James Thornton,christinamejia@example.org,(221)367-3416x01631,"8126 Bond Street Apt. 769, South Elizabethfurt, PA 71717",2025-04-28,vip
80,Ricardo Mccormick,johnsonkelly@example.net,811-953-8447x6179,"36217 Patricia Shore Suite 458, Lake Brian, DE 77764",2024-09-19,new
81,Julian Rollins,tylernunez@example.net,(683)231-9150x69865,"966 Mcguire Glens, Port Danielfort, CO 60224",2025-10-26,vip
82,Katherine Payne,josephrodriguez@example.com,001-823-297-1771,"381 Bruce Terrace Apt. 268, Moorehaven, MD 92085",2024-07-25,vip
83,Amber Davis,epatterson@example.net,+1-911-938-7564,"83616 Stephanie Route Apt. 507, West Kimberlyberg, AS 78326",2024-09-10,vip
84,Meghan Francis,joanna53@example.net,(544)576-5804,"67070 Armstrong Trace Apt. 555, Joeville, AR 16441",2024-09-17,vip
85,Debbie Miller,jessica71@example.com,6642652177,"756 Lonnie Roads, East Ericashire, UT 62204",2024-12-05,regular
86,Gabrielle Anderson,mcoleman@example.org,+1-271-318-0954,"0895 Welch View Suite 288, Huntside, IA 07484",2024-02-20,vip
87,Rebecca Gardner,jeffreyfriedman@example.org,(822)200-5133x64069,"6219 Bradley Isle, Port Douglas, MD 92118",2024-09-23,vip
88,Susan Ortega PhD,cjones@example.com,(925)506-5512,"5867 Waller Neck, Abigailborough, PR 87125",2024-12-11,vip
89,Diana Myers,turnernancy@example.com,260.460.6522x24580,"1637 Long Valley Suite 893, North Sara, MA 38485",2025-03-30,vip
90,Thomas Mathews,bmurphy@example.com,212-602-1791x674,"Unit 6045 Box 9252, DPO AE 47031",2024-03-23,new
91,Sierra Lopez,alexandra18@example.org,(348)979-8189x288,"090 Little Bridge Suite 830, Erinbury, IL 64567",2023-12-08,vip
92,Paul Barker,morrisonyesenia@example.org,(611)573-5517x4958,"739 Jason Mountain Apt. 169, Anthonystad, MD 05025",2025-04-29,vip
93,Julie Harper,robert61@example.org,523-734-1702x70013,"189 Dakota Trace, Johnstonmouth, TN 10431",2025-08-03,vip
94,Sophia Matthews MD,marygardner@example.com,(947)590-5398,"901 Randy Pike, Thomasville, WI 46729",2023-11-28,vip
95,Chelsey Jackson,morrisonryan@example.com,(747)251-3673,"1866 Brandon Stravenue, New Timothy, RI 11003",2025-08-13,new
96,Joseph Peterson,shaun32@example.com,(468)848-4473x99793,"028 Shawn Island Apt. 172, Mannside, PW 11951",2025-04-10,vip
97,Shannon Soto,sgreen@example.org,944-685-9637,"01558 Jeffrey Isle Apt. 980, Dyermouth, WV 85019",2024-01-14,vip
98,Riley Roach,jillbailey@example.net,+1-542-700-4018,"Unit 8273 Box 2833, DPO AE 90127",2024-04-26,regular
99,Caleb Molina,brandirogers@example.org,001-726-305-2475x72981,"60236 Christine Inlet, South Paul, RI 81834",2024-10-26,regular
100,Kendra Cantrell,clairewheeler@example.net,001-974-962-9418,"94886 Harmon Mountains, East Mariaside, AL 02083",2024-03-21,new
101,Adrian Bradley,patricia64@example.net,+1-291-555-8551x7566,"126 Matthew Ford Apt. 388, Lucasstad, CO 77780",2024-06-26,regular
102,Joshua Moore,jonathangardner@example.org,+1-875-985-6083x888,"55885 Mccarthy Track, East Davidville, KY 38153",2025-07-30,new
103,Emily Shelton,brandonforbes@example.org,4729979689,"USS Ryan, FPO AE 41958",2025-07-14,regular
104,Teresa Valencia,perezdevon@example.net,(535)516-0500,"230 Mckinney Expressway Suite 565, Port David, CA 01330",2025-07-08,vip
105,Julie Holden,lindseyanderson@example.net,+1-682-628-0818x678,"681 Jenkins Turnpike, New James, IN 99710",2024-10-28,vip
106,John Daniel,cunninghamjoshua@example.net,(613)342-4079x20904,"7496 Jeffrey Coves, Lake Patricia, FL 71952",2024-11-23,regular
107,Susan Phillips,kellymartinez@example.com,252.809.8409x3607,"672 Joseph Valleys Suite 749, South Brandiborough, PW 53477",2025-03-26,regular
108,Mr. Jerry Garcia,mahoneyamanda@example.net,(605)200-0745,"3873 Clayton Trace, East Danny, MH 47699",2024-03-16,regular
109,Patricia Bullock,ubarron@example.org,9522854651,"66362 Lee Fords, Port Scottburgh, IN 32090",2024-10-21,regular
110,Mary Robbins,iryan@example.org,001-926-894-0555,"Unit 4404 Box 8317, DPO AA 68628",2025-09-09,regular
111,Jane Silva,knoxbryan@example.org,(423)499-7579x5945,"6420 Price Forge, South Anneland, PW 76031",2023-12-18,regular
112,Lindsey Stewart,yferguson@example.net,001-924-458-7608x4640,"68007 Anthony Ranch, Smithborough, RI 74667",2024-05-22,new
113,David Durham,emoore@example.org,(328)826-3353x5452,"32345 Sanchez Heights, Bowmanside, KS 98085",2024-04-25,vip
114,Rick Young,yrobinson@example.net,+1-378-759-4296x1907,"69372 Annette Unions Apt. 288, West Jennifer, MN 23962",2025-06-04,vip
115,Kimberly Curry,theresa66@example.com,946.779.5177x821,"70073 Theresa Ville, West Jenniferfurt, KY 77890",2025-08-19,regular
116,Charles Ramirez DDS,kathleenstevens@example.com,001-389-224-3334,"95633 Wong Squares, Vanessaland, VT 54333",2025-08-10,regular
117,Justin Chan,marquezbilly@example.org,(642)358-3961x70919,"88753 Barnett Avenue, Carpenterhaven, NJ 91387",2024-02-11,vip
118,Donald Robertson,nmarquez@example.com,833-457-7634x5787,"76405 Mcconnell Hill, Lake Maryhaven, VI 34608",2024-06-24,regular
119,Morgan Gordon,williamstyler@example.net,001-654-806-3265x3556,"4550 Kaylee Route Apt. 792, Carrollmouth, CO 08911",2025-01-22,new
120,Monica Barnes,emcgee@example.org,262-524-5421,"410 Nicole Locks Suite 429, West Rebecca, IA 86364",2024-07-22,regular
121,Kelly Torres,ybryant@example.com,001-703-566-2114x193,"2741 Warner Meadow, West Virginia, AK 79909",2024-09-05,new
122,Karen Farmer,amandacole@example.com,001-418-534-0539,"0428 Johnson Village, Howardburgh, SC 23494",2023-11-30,vip
123,Jordan Ayers,jasondelgado@example.net,593-741-1242x7249,"3931 Woodward Path, New Dawn, OK 33082",2025-11-07,new
124,Denise Myers,sarahbowman@example.net,794.447.4487x64971,"257 David Hill Apt. 430, South Shirley, TN 45877",2024-01-30,new
125,Meghan Ortega,kelligarcia@example.net,(737)854-3621,"USS Santos, FPO AA 09381",2025-03-19,new
126,Ann Davila,lopezerin@example.com,(247)934-9477x61201,"8714 Robert Keys Apt. 910, East Jeffreytown, NJ 15451",2024-09-29,new
127,Casey Long,phillipskaren@example.net,490-403-8751,"624 Sanchez Wall, Davisburgh, VT 88647",2025-03-26,vip
128,Ronald Hines,usanchez@example.com,583-319-9914,"USCGC Costa, FPO AA 78016",2023-11-19,vip
129,Marie Davidson,owhite@example.org,001-689-339-3187x32605,"2854 Lisa Cove Suite 494, New Leslie, FM 34194",2024-02-07,vip
130,Erik Fields,candace14@example.net,436-367-6344x986,"3361 Espinoza Parkway, Port Christopher, MN 39668",2024-01-23,vip
131,Sandra Berger,timothyaustin@example.com,001-555-919-3561x0594,"85541 Kim Estates, Sharonton, AZ 11766",2024-07-07,regular
132,Brittney Wright,rkennedy@example.net,+1-901-550-4614x93357,"803 Peterson Roads, Jillburgh, ME 17449",2025-09-17,regular
133,Joseph Santiago,pagesamantha@example.org,802.306.6533x78102,"68515 Anna Summit Apt. 547, Bethanyfort, MA 28114",2025-09-01,vip
134,Isaac Jordan,zwilliams@example.com,348.733.2433x16711,"Unit 0364 Box 2615, DPO AA 17050",2024-05-01,new
135,Steven Sanchez,jonescameron@example.org,(473)342-5909,"453 Wolf Prairie Suite 542, North Amyview, MN 45026",2024-01-06,regular
136,Dana Smith,jamesrogers@example.com,927-603-7558x93300,"14380 Miller Causeway Apt. 101, East Charles, AR 39799",2025-10-15,regular
137,Cassandra Munoz,shaffermichael@example.net,817.528.8224,"786 Teresa Villages Apt. 456, West Troy, KS 16893",2025-04-17,regular
138,Dana Mcclain DDS,daviswhitney@example.org,+1-629-652-4494x67149,"Unit 3514 Box 6701, DPO AP 68378",2025-07-25,vip
139,Steven Sloan,marcus75@example.com,844.252.6349x01274,"992 Jon Mills Apt. 755, Lake Juan, DE 63438",2024-09-29,regular
140,Mr. Alexander Brown,alexanderbrian@example.org,6328146841,"13886 Timothy Highway, Jeffreyport, IA 08748",2025-07-04,vip
141,Patrick Morgan,aramirez@example.com,902.835.9715,"360 Collins Ports Suite 362, South Williamview, TX 11620",2024-11-28,new
142,Ms. Janice Boyle DDS,joannmcdonald@example.org,001-625-517-4503x80315,"0435 Holly Coves, Myerstown, MH 00912",2024-01-31,new
143,Megan Miller,trocha@example.net,+1-306-615-8333,"9212 Laura Spur, West Lori, VT 49758",2024-07-15,new
144,Randall Harris,nicole19@example.com,443.719.4315,"3084 Dominguez Walks, Anthonyfurt, NY 52441",2024-04-29,new
145,Megan Bowers,debra45@example.com,794.406.9426x270,"PSC 1374, Box 5127, APO AE 81806",2025-08-04,vip
146,Cole Sutton,huffkenneth@example.com,001-878-763-2257x0992,"285 Alexandra Pines Apt. 079, Gonzalesmouth, NE 10653",2024-09-03,vip
147,Heather Roberts,bobsalazar@example.net,+1-950-665-1699x6484,"385 Chen Curve, Heatherhaven, WA 94879",2024-03-23,new
148,Brian Evans,glopez@example.org,(773)673-2506x2937,"3430 Heidi Shores, West Daniel, MA 91247",2025-06-20,new
149,Noah Patel,adamcraig@example.net,+1-707-297-6572x473,"39729 James Village Suite 147, Whiteburgh, MD 14530",2024-11-04,new
150,Aaron Walker,shellyhawkins@example.org,001-995-920-5713x309,"62250 James Trace Suite 339, Port Joshua, TX 59745",2023-12-13,regular
151,Larry Carter,eroberts@example.net,+1-355-268-3479x42430,"06577 Santos Shores, Bradyhaven, CA 58873",2024-02-06,regular
152,Courtney Campbell,austin13@example.com,+1-358-335-9855x0852,"24290 Darren Prairie, Vargasbury, CA 28247",2024-07-12,vip
153,Tyler Walker,ryan57@example.com,(878)504-9052x289,"619 Avila Square, Ramseymouth, MI 18238",2025-02-25,vip
154,Mr. Eric Vaughn,jennifer59@example.com,235.710.8029x0452,"80431 Joshua Underpass Suite 463, Johnsonside, HI 85686",2024-01-10,vip
155,Lindsey Bishop,jerryhoward@example.org,(710)907-6153x130,"91503 White Summit, North Arthur, IA 33555",2025-06-13,vip
156,Mary Beck,sdeleon@example.com,+1-471-632-6183,"53854 Perry Forks Suite 617, Laurafurt, WI 97340",2024-10-09,vip
157,Stacey Price,avilakevin@example.net,+1-443-365-2501,"6821 Smith Mission, North Allen, IN 84868",2024-03-27,regular
158,Cameron Miller,shelbyshaffer@example.org,383-446-8020x96033,"910 Jesse Plains, Maldonadoville, GU 85453",2024-04-11,new
159,Matthew Bradford,christopher22@example.org,634.943.9064,"6917 Bell Knoll Apt. 870, Harrisview, WY 71250",2024-09-14,vip
160,Aimee Ward,calebbrown@example.org,(498)714-3475x654,"660 Clark Motorway, East Shane, SC 74253",2025-02-27,new
161,Penny Rios,torreslaura@example.com,+1-657-247-1821x866,"414 Miller Avenue, Laurenborough, IL 21812",2024-03-12,vip
162,Misty Jones,rhondaschaefer@example.org,589-666-5561x0396,"02537 Jennifer Haven Suite 968, East Michael, TN 58908",2024-11-12,regular
163,Denise George,patrick28@example.org,+1-619-514-6966x4604,"988 Estrada Wells Suite 972, East Tiffany, KS 62302",2024-02-20,vip
164,Amy Douglas,katrina19@example.net,671.703.2160x4491,"629 Cortez Rapids Apt. 281, New Mary, LA 76136",2024-09-07,new
165,David Hayes,xmack@example.net,(398)567-2522x494,"7733 Smith Radial Suite 738, East Matthew, TX 93352",2024-11-25,regular
166,Preston Love,christensenlaura@example.com,001-686-794-0508x24336,"0896 Brooks Vista, South Mark, PR 82490",2024-05-18,regular
167,Melissa Silva,mortiz@example.net,742-549-0428,"008 Tracy Points, Nancymouth, TN 72230",2023-11-17,regular
168,Jessica Andrews,nhunter@example.com,262.476.7776x481,"5126 Page Walk, West Vincent, SD 38117",2025-09-25,vip
169,Ashley Monroe,richardchambers@example.org,599-800-4086x5769,"9668 Jones Walks Apt. 785, South Miguelburgh, CT 12589",2024-11-11,new
170,Jeremy Tran,gary68@example.com,498-907-3805,"USNV Williams, FPO AA 98828",2024-01-18,vip
171,Kristine Delacruz,vmartinez@example.com,(239)610-2462,"859 Hebert Branch Apt. 576, Stephenland, UT 39180",2024-10-09,vip
172,Eric Thomas,lisa97@example.com,+1-422-937-3108x7800,"05272 Jody Spurs, Williamfort, AZ 96278",2025-08-10,vip
173,April Soto,vrobinson@example.org,001-610-248-4097,"096 Katherine Well Apt. 053, North Paulburgh, NE 27792",2025-07-19,vip
174,Jennifer Jensen,pedro82@example.com,304.357.3919x578,"981 Tina Lodge Apt. 084, Peterfurt, PW 51113",2025-04-09,new
175,Laura Martinez,michael69@example.net,362-882-2029x6582,"6344 Kim Rest Apt. 125, Myershaven, CT 68493",2023-11-18,new
176,Douglas Henry,matthew65@example.com,001-529-389-6748x428,"654 Norman Knoll, North Seanport, KS 26560",2025-09-12,vip
177,Tiffany Bass,cbeltran@example.org,(637)764-2584x52733,"6606 Vincent Greens, Port Shannon, TX 95585",2025-01-20,regular
178,Christopher Horton,mmartinez@example.org,(478)880-1247x3496,"135 Vargas Roads Apt. 489, Williamborough, IN 55143",2023-11-16,new
179,Dr. Traci Larson,michael83@example.net,(278)665-1601,"549 Johnson Street Apt. 234, East Tinamouth, CA 88371",2024-06-28,regular
180,Rhonda Washington,hayden41@example.net,001-395-621-5837x48563,"1382 Kendra Station Apt. 156, Jessestad, VT 70765",2025-06-23,regular
181,Hannah Parker,smoore@example.com,331.982.1523x8532,"99052 Myers Run, North Carolinefurt, MS 80926",2024-07-01,new
182,Charles Dean,robinerickson@example.org,001-251-724-7291x35493,"2876 Soto Radial, Martinview, IL 32861",2024-07-18,regular
183,Gina Martinez,coxheather@example.net,(586)961-3041x66704,"62358 Morris Tunnel, Port Jeremy, TN 36067",2024-08-25,regular
184,Mckenzie Campbell,tammy43@example.com,(552)748-3574x7479,"60763 Joseph Greens Suite 249, North Jamesmouth, KY 66301",2023-12-24,vip
185,Jennifer Walton,derrick19@example.com,001-474-965-6514x08883,"6030 Katrina Roads Suite 991, East Raymondport, RI 45178",2024-01-05,new
186,Jacob Keller,ronaldsmith@example.net,001-694-748-3816x8769,"278 Jasmine Courts Apt. 749, Mackbury, TX 49988",2024-11-06,new
187,Julie Fox,cjames@example.com,481-389-9037x6294,"901 Jennifer Burg, South Jeffland, CO 17158",2025-10-23,vip
188,Susan Potts,diazjessica@example.com,001-924-845-0073,"56495 Tiffany Crescent, Lake Randallbury, AL 75521",2023-12-27,vip
189,Austin Sims,thompsonscott@example.net,(491)939-2678x0090,"83350 Holmes Passage Apt. 146, Jacquelineberg, TX 16259",2024-01-04,new
190,Tina Hughes,cainaaron@example.net,952.330.6243x37235,"896 Gomez Views Apt. 034, North Michael, AR 31962",2025-10-28,vip
191,Tyler Morris,vegacynthia@example.org,489.530.1027,"7089 Elizabeth Heights Suite 760, Mcphersonborough, LA 68656",2023-12-06,new
192,Jason Jackson,suzannecardenas@example.org,(834)631-2893x7823,"05368 Reynolds Terrace, West Jonathan, VA 03564",2024-05-01,vip
193,Mr. Donald Jenkins DVM,kylele@example.net,(428)645-3117,"8031 Murray Locks, Yorkmouth, NJ 22734",2025-02-15,regular
194,Brianna Hoffman,ismith@example.com,(801)691-7968,"1540 William Lights Apt. 487, Smithtown, AL 03059",2024-04-23,vip
195,Daniel Becker,mnewman@example.org,7993791857,"PSC 9372, Box 2962, APO AA 46452",2024-12-30,vip
196,Todd Vega,sortiz@example.net,484.524.7229x956,"18618 Whitehead Land, Bryantton, MT 65798",2025-10-03,new
197,Dominique Rogers,uturner@example.com,001-654-484-5960x90192,"003 Green Vista, Obrientown, WV 27492",2025-08-19,vip
198,Joseph Montes,parkerjennifer@example.com,001-655-261-2632,"USNV Lopez, FPO AA 26910",2025-05-16,new
199,Dennis Brown,knightcarla@example.com,001-860-200-2766x82594,"3892 Jeffrey Course Apt. 287, Manningville, FL 53610",2025-09-13,regular
200,David Murphy,ejohnson@example.org,711-222-3127x0488,"378 Dennis Valley Suite 608, New Donald, HI 19464",2025-04-30,new
201,Robin Maldonado,theresa49@example.org,846-795-5316,"86735 John Extension, Mcdonaldstad, NH 64458",2024-02-28,regular
202,Susan Collins,eric31@example.com,2083426178,"852 Ramos Alley, Cisnerosside, KS 94449",2025-08-11,regular
203,Omar Ashley,zprice@example.org,001-487-758-7469x239,"6544 Huff Bypass, South Beverlytown, VA 51265",2023-12-13,regular
204,Yvonne Cunningham,patricksullivan@example.com,001-810-743-5555x71403,"3993 Ryan Mill Suite 025, Bartletttown, TX 25350",2023-11-18,new
205,Raymond Russell,darrenadams@example.net,+1-313-696-5898x21045,"969 Kent Coves Suite 855, New Thomasmouth, FL 37345",2025-03-26,regular
206,Jaime Sanford,robertsbill@example.org,975-528-7147,"Unit 4654 Box 7083, DPO AE 42334",2025-05-11,new
207,Erica Richardson,marktodd@example.net,897.522.6722,"60165 Bethany Stravenue Suite 347, Melissabury, MT 40311",2025-08-05,regular
208,Erica Perez,jonathan45@example.com,983-427-8382x2937,"77218 Elizabeth Overpass, New Matthewfurt, VA 86596",2025-01-17,new
209,Megan Woods,kelsey47@example.net,792-821-2050x64132,"243 Cheryl Mews, South Marystad, TX 17514",2024-04-28,vip
210,Nicholas Hines,robert30@example.net,+1-485-625-7417,"91479 Scott Pike, Lake Amber, AZ 79788",2025-08-22,regular
